t_s,Tf_K
396.82461046,383.47395760
401.42424905,383.46498171
406.07720257,383.45612713
410.78408900,383.44739316
415.54553347,383.43877912
420.36216838,383.43028428
425.23463345,383.42190793
430.16357581,383.41364932
435.14965009,383.40550771
440.19351852,383.39748235
445.29585099,383.38957246
450.45732518,383.38177727
455.67862658,383.37409599
460.96044868,383.36652782
466.30349297,383.35907196
471.70846909,383.35172758
477.17609489,383.34449387
482.70709656,383.33736998
488.30220869,383.33035508
493.96217439,383.32344832
499.68774539,383.31664883
505.47968212,383.30995574
511.33875384,383.30336819
517.26573872,383.29688529
523.26142395,383.29050616
529.32660584,383.28422988
535.46208993,383.27805557
541.66869110,383.27198232
547.94723369,383.26600921
554.29855157,383.26013531
560.72348829,383.25435971
567.22289716,383.24868148
573.79764142,383.24309967
580.44859428,383.23761335
587.17663907,383.23222157
593.98266939,383.22692338
600.86758917,383.22171783
607.83231283,383.21660397
614.87776538,383.21158083
622.00488256,383.20664745
629.21461096,383.20180286
636.50790813,383.19704610
643.88574272,383.19237619
651.34909463,383.18779217
658.89895508,383.18329305
666.53632681,383.17887787
674.26222418,383.17454564
682.07767329,383.17029538
689.98371214,383.16612613
697.98139078,383.16203689
706.07177141,383.15802669
714.25592855,383.15409454
722.53494918,383.15023948
730.90993286,383.14646051
739.38199192,383.14275667
747.95225156,383.13912697
756.62185005,383.13557043
765.39193882,383.13208610
774.26368268,383.12867298
783.23825992,383.12533012
792.31686249,383.12205653
801.50069616,383.11885127
810.79098067,383.11571335
820.18894992,383.11264183
829.69585208,383.10963575
839.31294982,383.10669414
849.04152041,383.10381607
858.88285595,383.10100057
868.83826353,383.09824672
878.90906534,383.09555358
889.09659895,383.09292020
899.40221741,383.09034566
909.82728945,383.08782903
920.37319966,383.08536940
931.04134871,383.08296584
941.83315346,383.08061746
952.75004724,383.07832334
963.79347996,383.07608259
974.96491835,383.07389432
986.26584613,383.07175763
997.69776424,383.06967165
1009.26219099,383.06763551
1020.96066231,383.06564834
1032.79473192,383.06370927
1044.76597156,383.06181746
