t_s,Tf_K
522.05675278,374.99988725
529.32660584,374.97423507
536.69769455,374.94873820
544.17142869,374.92339797
551.74923761,374.89821569
559.43257062,374.87319265
567.22289716,374.84833012
575.12170718,374.82362933
583.13051135,374.79909153
591.25084138,374.77471790
599.48425032,374.75050963
607.83231283,374.72646787
616.29662551,374.70259375
624.87880720,374.67888839
633.58049927,374.65535285
642.40336594,374.63198820
651.34909463,374.60879547
660.41939623,374.58577567
669.61600549,374.56292978
678.94068127,374.54025875
688.39520696,374.51776352
697.98139078,374.49544497
707.70106612,374.47330399
717.55609189,374.45134143
727.54835292,374.42955809
737.67976025,374.40795477
747.95225156,374.38653224
758.36779150,374.36529121
768.92837208,374.34423241
779.63601304,374.32335650
790.49276227,374.30266412
801.50069616,374.28215590
812.66192001,374.26183241
823.97856845,374.24169421
835.45280584,374.22174183
847.08682666,374.20197576
858.88285595,374.18239645
870.84314977,374.16300435
882.96999555,374.14379986
895.26571260,374.12478333
907.73265252,374.10595511
920.37319966,374.08731551
933.18977157,374.06886479
946.18481947,374.05060320
959.36082871,374.03253095
972.72031925,374.01464822
986.26584613,373.99695514
1000.00000000,373.97945184
1013.92540756,373.96213839
1028.04473209,373.94501484
1042.36067398,373.92808120
1056.87597118,373.91133746
1071.59339982,373.89478357
1086.51577465,373.87841944
1101.64594963,373.86224496
1116.98681847,373.84625999
1132.54131515,373.83046433
1148.31241454,373.81485778
1164.30313292,373.79944009
1180.51652857,373.78421098
1196.95570236,373.76917015
1213.62379834,373.75431725
1230.52400436,373.73965191
1247.65955263,373.72517371
1265.03372040,373.71088224
1282.64983053,373.69677700
1300.51125217,373.68285750
1318.62140139,373.66912322
1336.98374182,373.65557358
1355.60178533,373.64220799
1374.47909268,373.62902583
1393.61927422,373.61602643
1413.02599060,373.60320912
1432.70295341,373.59057318
1452.65392595,373.57811786
1472.88272391,373.56584239
1493.39321612,373.55374595
1514.18932530,373.54182773
1535.27502878,373.53008686
1556.65435927,373.51852245
1578.33140565,373.50713357
1600.31031374,373.49591929
1622.59528708,373.48487864
1645.19058775,373.47401061
1668.10053720,373.46331418
1691.32951703,373.45278830
1714.88196987,373.44243190
1738.76240022,373.43224387
1762.97537529,373.42222308
1787.52552590,373.41236839
1812.41754737,373.40267862
1837.65620039,373.39315258
1863.24631193,373.38378904
1889.19277621,373.37458677
1915.50055557,373.36554450
1942.17468149,373.35666094
1969.22025548,373.34793480
1996.64245011,373.33936475
2024.44650998,373.33094943
2052.63775271,373.32268750
2081.22156999,373.31457756
2110.20342857,373.30661822
2139.58887134,373.29880806
2169.38351839,373.29114565
2199.59306803,373.28362953
2230.22329797,373.27625824
2261.28006634,373.26903030
2292.76931287,373.26194422
2324.69705999,373.25499849
