t_s,Tf_K
820.18894992,383.11879201
829.69585208,383.11558251
839.31294982,383.11244339
849.04152041,383.10937354
858.88285595,383.10637188
868.83826353,383.10343733
878.90906534,383.10056881
889.09659895,383.09776525
899.40221741,383.09502560
909.82728945,383.09234881
920.37319966,383.08973383
931.04134871,383.08717962
941.83315346,383.08468515
952.75004724,383.08224941
963.79347996,383.07987138
974.96491835,383.07755005
986.26584613,383.07528442
997.69776424,383.07307352
1009.26219099,383.07091635
1020.96066231,383.06881195
1032.79473192,383.06675936
1044.76597156,383.06475762
1056.87597118,383.06280579
1069.12633917,383.06090293
1081.51870255,383.05904812
1094.05470721,383.05724045
1106.73601810,383.05547900
1119.56431948,383.05376287
1132.54131515,383.05209119
1145.66872863,383.05046307
1158.94830344,383.04887765
1172.38180329,383.04733406
1185.97101234,383.04583147
1199.71773544,383.04436902
1213.62379834,383.04294590
1227.69104799,383.04156128
1241.92135270,383.04021436
1256.31660247,383.03890433
1270.87870920,383.03763042
1285.60960694,383.03639185
1300.51125217,383.03518785
1315.58562405,383.03401765
1330.83472465,383.03288053
1346.26057930,383.03177573
1361.86523676,383.03070254
1377.65076955,383.02966025
1393.61927422,383.02864814
1409.77287163,383.02766552
1426.11370719,383.02671171
1442.64395122,383.02578604
1459.36579916,383.02488784
1476.28147191,383.02401647
1493.39321612,383.02317127
1510.70330449,383.02235162
1528.21403603,383.02155690
1545.92773642,383.02078650
1563.84675830,383.02003981
1581.97348158,383.01931624
1600.31031374,383.01861522
1618.85969018,383.01793617
1637.62407452,383.01727854
1656.60595895,383.01664177
1675.80786453,383.01602532
1695.23234155,383.01542867
1714.88196987,383.01485129
1734.75935923,383.01429267
1754.86714965,383.01375232
1775.20801172,383.01322973
1795.78464700,383.01272443
1816.59978838,383.01223595
1837.65620039,383.01176383
1858.95667964,383.01130760
1880.50405513,383.01086683
1902.30118867,383.01044108
1924.35097523,383.01002993
1946.65634334,383.00963295
1969.22025548,383.00924975
1992.04570845,383.00887991
2015.13573382,383.00852306
2038.49339825,383.00817881
2062.12180400,383.00784678
2086.02408925,383.00752661
2110.20342857,383.00721795
2134.66303332,383.00692044
2159.40615210,383.00663375
2184.43607115,383.00635754
2209.75611480,383.00609149
2235.36964591,383.00583528
2261.28006634,383.00558861
2287.49081736,383.00535116
2314.00538013,383.00512266
2340.82727618,383.00490281
2367.96006783,383.00469133
2395.40735872,383.00448795
2423.17279424,383.00429240
2451.26006203,383.00410443
2479.67289250,383.00392379
2508.41505928,383.00375022
2537.49037973,383.00358350
2566.90271549,383.00342338
2596.65597293,383.00326965
2626.75410372,383.00312208
2657.20110532,383.00298047
2688.00102154,383.00284460
2719.15794304,383.00271427
2750.67600791,383.00258929
2782.55940221,383.00246946
2814.81236051,383.00235461
2847.43916647,383.00224454
